trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2020-01-01|Bus|Other|13|19700|18700
2020-01-01|Bus|Parramatta|13|500|500
2020-01-01|Bus|Strathfield|13|200|200
2020-01-01|Bus|Sydney CBD|13|2900|3500
2020-01-01|Bus|Wollongong and surrounds|13|100|<50
2020-01-01|Bus|All - NSW|13|24100|23400
2020-01-01|Bus|Chatswood|14|300|200
2020-01-01|Bus|Macquarie Park|14|200|200
2020-01-01|Bus|Newcastle and surrounds|14|<50|<50
2020-01-01|Bus|North Sydney|14|200|200
2020-01-01|Bus|Other|14|19200|19600
2020-01-01|Bus|Parramatta|14|500|500
2020-01-01|Bus|Strathfield|14|200|200
2020-01-01|Bus|Sydney CBD|14|3200|3600
2020-01-01|Bus|Wollongong and surrounds|14|100|<50
2020-01-01|Bus|All - NSW|14|23900|24500
2020-01-01|Bus|Chatswood|15|300|300
2020-01-01|Bus|Macquarie Park|15|300|300
2020-01-01|Bus|Newcastle and surrounds|15|<50|<50
2020-01-01|Bus|North Sydney|15|200|100
2020-01-01|Bus|Other|15|19300|19200
2020-01-01|Bus|Parramatta|15|500|500
2020-01-01|Bus|Strathfield|15|200|200
2020-01-01|Bus|Sydney CBD|15|3200|3300
2020-01-01|Bus|Wollongong and surrounds|15|100|<50
2020-01-01|Bus|All - NSW|15|24100|23900
2020-01-01|Bus|Chatswood|16|300|200
2020-01-01|Bus|Macquarie Park|16|300|200
2020-01-01|Bus|Newcastle and surrounds|16|<50|<50
2020-01-01|Bus|North Sydney|16|100|100
2020-01-01|Bus|Other|16|18700|19400
2020-01-01|Bus|Parramatta|16|500|400
2020-01-01|Bus|Strathfield|16|200|200
2020-01-01|Bus|Sydney CBD|16|3200|2800
2020-01-01|Bus|Wollongong and surrounds|16|<50|100
2020-01-01|Bus|All - NSW|16|23300|23400
2020-01-01|Bus|Chatswood|17|300|300
2020-01-01|Bus|Macquarie Park|17|200|100
2020-01-01|Bus|Newcastle and surrounds|17|<50|<50
2020-01-01|Bus|North Sydney|17|200|100
2020-01-01|Bus|Other|17|18000|18500
2020-01-01|Bus|Parramatta|17|600|500
2020-01-01|Bus|Strathfield|17|200|200
2020-01-01|Bus|Sydney CBD|17|3100|2700
2020-01-01|Bus|Wollongong and surrounds|17|<50|<50
2020-01-01|Bus|All - NSW|17|22600|22400
2020-01-01|Bus|Chatswood|18|200|200
2020-01-01|Bus|Macquarie Park|18|200|100
2020-01-01|Bus|Newcastle and surrounds|18|<50|<50
2020-01-01|Bus|North Sydney|18|100|200
2020-01-01|Bus|Other|18|14100|16100
2020-01-01|Bus|Parramatta|18|700|600
2020-01-01|Bus|Strathfield|18|200|200
2020-01-01|Bus|Sydney CBD|18|2800|2800
2020-01-01|Bus|Wollongong and surrounds|18|<50|<50
2020-01-01|Bus|All - NSW|18|18300|20200
2020-01-01|Bus|Chatswood|19|100|100
2020-01-01|Bus|Macquarie Park|19|200|100
2020-01-01|Bus|Newcastle and surrounds|19|<50|<50
2020-01-01|Bus|North Sydney|19|100|100
2020-01-01|Bus|Other|19|9700|11600
2020-01-01|Bus|Parramatta|19|500|400
2020-01-01|Bus|Strathfield|19|200|100
2020-01-01|Bus|Sydney CBD|19|2400|2000
2020-01-01|Bus|Wollongong and surrounds|19|<50|<50
2020-01-01|Bus|All - NSW|19|13200|14400
2020-01-01|Bus|Chatswood|20|100|100
2020-01-01|Bus|Macquarie Park|20|100|100
2020-01-01|Bus|Newcastle and surrounds|20|<50|<50
2020-01-01|Bus|North Sydney|20|100|100
2020-01-01|Bus|Other|20|6600|8100
2020-01-01|Bus|Parramatta|20|300|300
2020-01-01|Bus|Strathfield|20|100|<50
2020-01-01|Bus|Sydney CBD|20|2000|1200
2020-01-01|Bus|Wollongong and surrounds|20|<50|<50
2020-01-01|Bus|All - NSW|20|9300|9900
2020-01-01|Bus|Chatswood|21|100|100
2020-01-01|Bus|Macquarie Park|21|100|100
2020-01-01|Bus|Newcastle and surrounds|21|<50|<50
2020-01-01|Bus|North Sydney|21|100|100
2020-01-01|Bus|Other|21|5000|6300
2020-01-01|Bus|Parramatta|21|300|200
2020-01-01|Bus|Strathfield|21|<50|<50
2020-01-01|Bus|Sydney CBD|21|1900|900
2020-01-01|Bus|All - NSW|21|7500|7700
2020-01-01|Bus|Chatswood|22|<50|100
2020-01-01|Bus|Macquarie Park|22|<50|100
2020-01-01|Bus|Newcastle and surrounds|22|<50|<50
2020-01-01|Bus|North Sydney|22|<50|<50
2020-01-01|Bus|Other|22|3600|5000
2020-01-01|Bus|Parramatta|22|200|100
2020-01-01|Bus|Strathfield|22|<50|<50
2020-01-01|Bus|Sydney CBD|22|2000|900
2020-01-01|Bus|All - NSW|22|5800|6200
2020-01-01|Bus|Chatswood|23|100|<50
2020-01-01|Bus|Macquarie Park|23|<50|100
2020-01-01|Bus|Newcastle and surrounds|23|<50|<50
2020-01-01|Bus|North Sydney|23|<50|<50
2020-01-01|Bus|Other|23|1900|4100
2020-01-01|Bus|Parramatta|23|100|<50
2020-01-01|Bus|Strathfield|23|<50|<50
2020-01-01|Bus|Sydney CBD|23|1700|600
2020-01-01|Bus|All - NSW|23|3800|4800
2020-01-01|Ferry|Newcastle and surrounds|0|<50|<50
2020-01-01|Ferry|North Sydney|0|<50|<50
2020-01-01|Ferry|Other|0|600|300
2020-01-01|Ferry|Sydney CBD|0|800|100
2020-01-01|Ferry|All - NSW|0|1400|400
2020-01-01|Ferry|North Sydney|1|<50|100
2020-01-01|Ferry|Other|1|800|1000
2020-01-01|Ferry|Sydney CBD|1|700|1200
2020-01-01|Ferry|All - NSW|1|1500|2300
2020-01-01|Ferry|North Sydney|2|<50|<50
2020-01-01|Ferry|Other|2|100|400
2020-01-01|Ferry|Sydney CBD|2|200|200
2020-01-01|Ferry|All - NSW|2|300|600
2020-01-01|Ferry|North Sydney|3|<50|<50
2020-01-01|Ferry|Other|3|<50|100
2020-01-01|Ferry|Sydney CBD|3|<50|<50
2020-01-01|Ferry|All - NSW|3|<50|100
2020-01-01|Ferry|North Sydney|4|<50|<50
2020-01-01|Ferry|Other|4|<50|<50
2020-01-01|Ferry|Sydney CBD|4|<50|<50
2020-01-01|Ferry|All - NSW|4|<50|<50
2020-01-01|Ferry|North Sydney|5|<50|<50
2020-01-01|Ferry|Other|5|<50|<50
2020-01-01|Ferry|All - NSW|5|<50|<50
2020-01-01|Ferry|Other|6|100|<50
2020-01-01|Ferry|Sydney CBD|6|<50|<50
2020-01-01|Ferry|All - NSW|6|100|<50
2020-01-01|Ferry|North Sydney|7|<50|<50
2020-01-01|Ferry|Other|7|100|100
2020-01-01|Ferry|Parramatta|7|<50|<50
2020-01-01|Ferry|Sydney CBD|7|100|<50
2020-01-01|Ferry|All - NSW|7|200|100
2020-01-01|Ferry|Newcastle and surrounds|8|<50|<50
2020-01-01|Ferry|North Sydney|8|<50|<50
2020-01-01|Ferry|Other|8|200|100
2020-01-01|Ferry|Parramatta|8|<50|<50
2020-01-01|Ferry|Sydney CBD|8|400|100
2020-01-01|Ferry|All - NSW|8|600|200
2020-01-01|Ferry|Newcastle and surrounds|9|<50|<50
2020-01-01|Ferry|North Sydney|9|100|<50
2020-01-01|Ferry|Other|9|500|600
2020-01-01|Ferry|Parramatta|9|<50|<50
2020-01-01|Ferry|Sydney CBD|9|900|400
2020-01-01|Ferry|All - NSW|9|1500|1000
2020-01-01|Ferry|Newcastle and surrounds|10|<50|<50
2020-01-01|Ferry|North Sydney|10|200|<50
2020-01-01|Ferry|Other|10|1200|1200
2020-01-01|Ferry|Parramatta|10|100|<50
2020-01-01|Ferry|Sydney CBD|10|1700|900
2020-01-01|Ferry|All - NSW|10|3200|2100
2020-01-01|Ferry|Newcastle and surrounds|11|100|100
2020-01-01|Ferry|North Sydney|11|200|200
2020-01-01|Ferry|Other|11|1800|2500
2020-01-01|Ferry|Parramatta|11|100|<50
2020-01-01|Ferry|Sydney CBD|11|3700|1800
2020-01-01|Ferry|All - NSW|11|5900|4600
2020-01-01|Ferry|Newcastle and surrounds|12|100|100
2020-01-01|Ferry|North Sydney|12|300|200
2020-01-01|Ferry|Other|12|1900|3500
2020-01-01|Ferry|Parramatta|12|100|<50
2020-01-01|Ferry|Sydney CBD|12|3900|2300
2020-01-01|Ferry|All - NSW|12|6300|6100
2020-01-01|Ferry|Newcastle and surrounds|13|<50|<50
2020-01-01|Ferry|North Sydney|13|300|400
2020-01-01|Ferry|Other|13|2300|3700
2020-01-01|Ferry|Parramatta|13|100|100
2020-01-01|Ferry|Sydney CBD|13|4200|2600
2020-01-01|Ferry|All - NSW|13|6900|6800
2020-01-01|Ferry|Newcastle and surrounds|14|100|<50
2020-01-01|Ferry|North Sydney|14|400|300
2020-01-01|Ferry|Other|14|2700|3500
2020-01-01|Ferry|Parramatta|14|100|<50
2020-01-01|Ferry|Sydney CBD|14|4000|3100
2020-01-01|Ferry|All - NSW|14|7300|6900
2020-01-01|Ferry|Newcastle and surrounds|15|100|<50
2020-01-01|Ferry|North Sydney|15|400|300
2020-01-01|Ferry|Other|15|3500|3100
2020-01-01|Ferry|Parramatta|15|100|100
2020-01-01|Ferry|Sydney CBD|15|3500|3900
2020-01-01|Ferry|All - NSW|15|7600|7400
2020-01-01|Ferry|Newcastle and surrounds|16|100|100
2020-01-01|Ferry|North Sydney|16|400|400
2020-01-01|Ferry|Other|16|4000|2800
2020-01-01|Ferry|Parramatta|16|100|100
2020-01-01|Ferry|Sydney CBD|16|3200|4300
2020-01-01|Ferry|All - NSW|16|7800|7700
2020-01-01|Ferry|Newcastle and surrounds|17|<50|<50
2020-01-01|Ferry|North Sydney|17|400|400
2020-01-01|Ferry|Other|17|3800|2100
2020-01-01|Ferry|Parramatta|17|100|100
2020-01-01|Ferry|Sydney CBD|17|2400|4900
2020-01-01|Ferry|All - NSW|17|6700|7500
2020-01-01|Ferry|Newcastle and surrounds|18|<50|<50
2020-01-01|Ferry|North Sydney|18|300|400
2020-01-01|Ferry|Other|18|2500|1700
2020-01-01|Ferry|Parramatta|18|<50|100
2020-01-01|Ferry|Sydney CBD|18|1700|3500
2020-01-01|Ferry|All - NSW|18|4500|5700
2020-01-01|Ferry|Newcastle and surrounds|19|<50|<50
2020-01-01|Ferry|North Sydney|19|200|200
2020-01-01|Ferry|Other|19|1400|900
2020-01-01|Ferry|Parramatta|19|<50|100
2020-01-01|Ferry|Sydney CBD|19|900|2200
2020-01-01|Ferry|All - NSW|19|2500|3400
2020-01-01|Ferry|Newcastle and surrounds|20|<50|<50
2020-01-01|Ferry|North Sydney|20|200|200
2020-01-01|Ferry|Other|20|900|500
2020-01-01|Ferry|Sydney CBD|20|700|1500
2020-01-01|Ferry|All - NSW|20|1800|2200
2020-01-01|Ferry|Newcastle and surrounds|21|<50|<50
2020-01-01|Ferry|North Sydney|21|200|100
2020-01-01|Ferry|Other|21|500|500
2020-01-01|Ferry|Sydney CBD|21|400|1100
2020-01-01|Ferry|All - NSW|21|1100|1700
2020-01-01|Ferry|North Sydney|22|<50|<50
2020-01-01|Ferry|Other|22|300|400
2020-01-01|Ferry|Sydney CBD|22|300|200
2020-01-01|Ferry|All - NSW|22|600|600
2020-01-01|Ferry|Newcastle and surrounds|23|<50|<50
2020-01-01|Ferry|North Sydney|23|<50|<50
2020-01-01|Ferry|Other|23|100|200
2020-01-01|Ferry|Sydney CBD|23|300|100
2020-01-01|Ferry|All - NSW|23|400|300
2020-01-01|Light rail|Newcastle and surrounds|0|100|100
2020-01-01|Light rail|Other|0|1800|700
2020-01-01|Light rail|Sydney CBD|0|100|600
2020-01-01|Light rail|All - NSW|0|2000|1400
2020-01-01|Light rail|Other|1|1400|1400
2020-01-01|Light rail|Sydney CBD|1|400|300
2020-01-01|Light rail|All - NSW|1|1800|1700
2020-01-01|Light rail|Newcastle and surrounds|2|<50|<50
2020-01-01|Light rail|Other|2|800|800
2020-01-01|Light rail|Sydney CBD|2|500|900
2020-01-01|Light rail|All - NSW|2|1300|1700
2020-01-01|Light rail|Other|3|400|200
2020-01-01|Light rail|Sydney CBD|3|100|400
2020-01-01|Light rail|All - NSW|3|500|600
2020-01-01|Light rail|Newcastle and surrounds|4|<50|<50
2020-01-01|Light rail|Other|4|100|100
2020-01-01|Light rail|Sydney CBD|4|100|200
2020-01-01|Light rail|All - NSW|4|200|300
2020-01-01|Light rail|Newcastle and surrounds|5|<50|<50
2020-01-01|Light rail|Other|5|200|100
2020-01-01|Light rail|Sydney CBD|5|100|200
2020-01-01|Light rail|All - NSW|5|300|300
2020-01-01|Light rail|Newcastle and surrounds|6|<50|<50
2020-01-01|Light rail|Other|6|200|100
2020-01-01|Light rail|Sydney CBD|6|200|300
2020-01-01|Light rail|All - NSW|6|400|400
2020-01-01|Light rail|Newcastle and surrounds|7|<50|<50
2020-01-01|Light rail|Other|7|200|200
2020-01-01|Light rail|Sydney CBD|7|200|300
2020-01-01|Light rail|All - NSW|7|400|500
2020-01-01|Light rail|Newcastle and surrounds|8|<50|<50
2020-01-01|Light rail|Other|8|200|200
2020-01-01|Light rail|Sydney CBD|8|300|300
2020-01-01|Light rail|All - NSW|8|500|500
2020-01-01|Light rail|Newcastle and surrounds|9|100|100
2020-01-01|Light rail|Other|9|400|500
2020-01-01|Light rail|Sydney CBD|9|900|500
2020-01-01|Light rail|All - NSW|9|1400|1100
2020-01-01|Light rail|Newcastle and surrounds|10|200|200
2020-01-01|Light rail|Other|10|700|700
2020-01-01|Light rail|Sydney CBD|10|1700|1200
2020-01-01|Light rail|All - NSW|10|2600|2100
2020-01-01|Light rail|Newcastle and surrounds|11|200|100
2020-01-01|Light rail|Other|11|1000|1200
2020-01-01|Light rail|Sydney CBD|11|3000|2500
2020-01-01|Light rail|All - NSW|11|4200|3800
2020-01-01|Light rail|Newcastle and surrounds|12|200|200
2020-01-01|Light rail|Other|12|1300|1500
2020-01-01|Light rail|Sydney CBD|12|3700|3200
2020-01-01|Light rail|All - NSW|12|5200|4900
2020-01-01|Light rail|Newcastle and surrounds|13|200|200
2020-01-01|Light rail|North Sydney|13|<50|<50
2020-01-01|Light rail|Other|13|1400|1700
2020-01-01|Light rail|Sydney CBD|13|3800|3500
2020-01-01|Light rail|All - NSW|13|5400|5400
2020-01-01|Light rail|Newcastle and surrounds|14|200|200
2020-01-01|Light rail|Other|14|1400|1700
2020-01-01|Light rail|Sydney CBD|14|4100|3800
2020-01-01|Light rail|All - NSW|14|5700|5700
2020-01-01|Light rail|Newcastle and surrounds|15|100|100
2020-01-01|Light rail|Other|15|1300|1500
2020-01-01|Light rail|Sydney CBD|15|4100|4000
2020-01-01|Light rail|All - NSW|15|5500|5600
2020-01-01|Light rail|Newcastle and surrounds|16|100|100
2020-01-01|Light rail|Other|16|1200|1400
2020-01-01|Light rail|Sydney CBD|16|3900|3900
2020-01-01|Light rail|All - NSW|16|5200|5400
2020-01-01|Light rail|Newcastle and surrounds|17|100|100
2020-01-01|Light rail|Other|17|1100|1300
2020-01-01|Light rail|Sydney CBD|17|3600|3400
2020-01-01|Light rail|All - NSW|17|4800|4800
2020-01-01|Light rail|Newcastle and surrounds|18|100|100
2020-01-01|Light rail|Other|18|1000|1200
2020-01-01|Light rail|Sydney CBD|18|3400|3300
2020-01-01|Light rail|All - NSW|18|4500|4600
2020-01-01|Light rail|Newcastle and surrounds|19|100|100
2020-01-01|Light rail|North Sydney|19|<50|<50
2020-01-01|Light rail|Other|19|600|1000
2020-01-01|Light rail|Sydney CBD|19|2600|2700
2020-01-01|Light rail|All - NSW|19|3300|3800
2020-01-01|Light rail|Newcastle and surrounds|20|<50|<50
2020-01-01|Light rail|Other|20|500|800
2020-01-01|Light rail|Sydney CBD|20|1900|1900
2020-01-01|Light rail|All - NSW|20|2400|2700
2020-01-01|Light rail|Newcastle and surrounds|21|<50|<50
2020-01-01|Light rail|Other|21|400|600
2020-01-01|Light rail|Sydney CBD|21|1800|1600
2020-01-01|Light rail|All - NSW|21|2200|2200
2020-01-01|Light rail|Newcastle and surrounds|22|<50|<50
2020-01-01|Light rail|Other|22|600|600
2020-01-01|Light rail|Sydney CBD|22|1100|1300
2020-01-01|Light rail|All - NSW|22|1700|1900
2020-01-01|Light rail|Newcastle and surrounds|23|<50|<50
2020-01-01|Light rail|Other|23|200|300
2020-01-01|Light rail|Sydney CBD|23|600|900
